iter	Passed	Remaining
0	946	188439
1	1768	175102
2	2539	166735
3	3381	165703
4	4183	163150
5	5079	164229
6	6613	182340
7	7633	183192
8	8697	184589
9	9707	184433
10	10822	185952
11	11945	187152
12	12985	186796
13	14182	188420
14	15608	192501
15	16369	188245
16	17127	184369
17	17903	181027
18	18683	177988
19	19447	175027
20	20199	172177
21	20972	169687
22	21749	167373
23	22514	165107
24	23277	162940
25	24026	160793
26	24785	158813
27	25545	156920
28	26308	155128
29	27141	153803
30	28104	153212
31	28982	152157
32	30105	152353
33	32094	156694
34	32870	154958
35	33653	153311
36	34422	151644
37	35198	150056
38	35952	148418
39	36710	146840
40	37480	145351
41	38242	143863
42	39016	142456
43	39779	141035
44	40734	140308
45	41551	139106
46	42322	137773
47	43098	136477
48	43845	135115
49	44597	133791
50	45364	132536
51	46133	131304
52	46902	130088
53	47663	128868
54	48456	127748
55	49214	126552
56	49978	125385
57	50744	124237
58	51509	123098
59	52263	121947
60	53019	120814
61	53784	119713
62	54555	118635
63	55323	117561
64	56075	116463
65	56830	115383
66	57591	114323
67	58356	113279
68	59124	112250
69	59871	111189
70	60616	110135
71	61370	109102
72	62128	108087
73	62895	107092
74	63649	106082
75	64399	105072
76	65164	104093
77	65923	103110
78	66696	102155
79	67469	101204
80	68229	100238
81	68993	99282
82	69773	98355
83	70548	97423
84	71333	96510
85	72097	95571
86	72851	94623
87	73790	93915
88	74858	93362
89	75975	92858
90	76882	92090
91	77655	91160
92	78427	90233
93	79197	89308
94	79954	88370
95	80714	87440
96	81474	86513
97	82237	85594
98	83006	84682
99	83772	83772
100	84522	82849
101	85277	81933
102	86036	81024
103	86810	80132
104	87563	79223
105	88313	78315
106	89062	77409
107	89832	76524
108	90618	75653
109	91379	74764
110	92121	73863
111	92881	72978
112	93632	72088
113	94394	71209
114	95161	70336
115	95909	69451
116	96665	68574
117	97420	67699
118	98188	66834
119	98962	65974
120	99715	65103
121	100468	64234
122	101232	63373
123	101986	62507
124	102755	61653
125	103509	60791
126	104262	59930
127	105027	59077
128	105804	58233
129	106569	57383
130	107336	56536
131	108088	55681
132	108842	54830
133	109608	53986
134	110392	53151
135	111160	52310
136	111915	51464
137	112671	50620
138	113442	49784
139	114237	48958
140	115120	48170
141	115897	47338
142	116661	46501
143	117446	45673
144	118213	44839
145	118983	44007
146	119926	43238
147	120673	42398
148	121433	41564
149	122199	40733
150	122968	39903
151	123722	39070
152	124469	38235
153	125223	37404
154	125979	36574
155	126764	35754
156	127518	34925
157	128268	34096
158	129012	33267
159	129773	32443
160	130529	31618
161	131292	30797
162	132036	29971
163	132805	29152
164	133560	28331
165	134419	27531
166	135222	26720
167	135966	25898
168	136723	25079
169	137474	24260
170	138233	23443
171	138999	22627
172	139758	21811
173	140515	20996
174	141281	20183
175	142037	19368
176	142805	18556
177	143564	17743
178	144310	16930
179	145060	16117
180	145816	15306
181	146579	14496
182	147343	13687
183	148084	12876
184	148838	12067
185	149597	11260
186	150355	10452
187	151123	9646
188	151876	8839
189	152626	8032
190	153375	7227
191	154129	6422
192	154896	5617
193	155648	4813
194	156398	4010
195	157145	3207
196	157905	2404
197	158663	1602
198	159430	801
199	160168	0
