iter	Passed	Remaining
0	4	2153
1	10	2524
2	13	2240
3	17	2117
4	20	2031
5	26	2163
6	29	2073
7	33	2032
8	36	1995
9	41	2057
10	45	2009
11	48	1990
12	52	1954
13	57	2009
14	61	1999
15	65	1981
16	68	1950
17	74	1993
18	78	1977
19	81	1956
20	84	1933
21	91	1986
22	96	2001
23	99	1980
24	103	1966
25	109	2000
26	113	1987
27	117	1974
28	122	1993
29	127	1992
30	130	1978
31	134	1967
32	141	2002
33	145	1988
34	148	1973
35	152	1962
36	158	1981
37	162	1969
38	165	1959
39	171	1977
40	175	1966
41	179	1954
42	182	1940
43	191	1980
44	194	1966
45	198	1958
46	204	1973
47	208	1963
48	212	1952
49	215	1941
50	221	1951
51	225	1941
52	229	1931
53	232	1921
54	238	1928
55	242	1919
56	245	1909
57	251	1912
58	255	1908
59	258	1895
60	261	1882
61	265	1874
62	269	1870
63	272	1858
64	276	1850
65	280	1843
66	286	1849
67	289	1841
68	293	1834
69	299	1837
70	304	1841
71	308	1834
72	312	1827
73	318	1834
74	322	1826
75	326	1818
76	332	1824
77	335	1816
78	339	1809
79	343	1801
80	349	1807
81	353	1800
82	356	1792
83	360	1785
84	366	1788
85	370	1781
86	373	1773
87	377	1767
88	380	1758
89	384	1751
90	388	1744
91	403	1789
92	415	1816
93	419	1811
94	423	1803
95	429	1805
96	432	1798
97	436	1791
98	440	1783
99	446	1786
100	450	1779
101	454	1771
102	460	1774
103	464	1766
104	467	1759
105	471	1752
106	477	1754
107	481	1747
108	485	1740
109	488	1732
110	496	1741
111	500	1733
112	504	1726
113	510	1729
114	514	1721
115	517	1712
116	521	1705
117	526	1705
118	530	1697
119	533	1690
120	537	1683
121	543	1683
122	546	1676
123	550	1669
124	553	1661
125	557	1656
126	561	1648
127	565	1642
128	568	1635
129	572	1629
130	576	1622
131	579	1616
132	588	1622
133	595	1625
134	599	1619
135	605	1620
136	608	1613
137	612	1606
138	618	1606
139	621	1598
140	625	1592
141	629	1585
142	635	1586
143	639	1580
144	643	1574
145	646	1568
146	652	1567
147	656	1560
148	660	1554
149	663	1548
150	669	1546
151	672	1539
152	675	1532
153	679	1525
154	688	1532
155	692	1526
156	695	1520
157	702	1520
158	706	1514
159	709	1508
160	715	1506
161	720	1503
162	726	1501
163	734	1504
164	739	1502
165	747	1503
166	752	1501
167	758	1498
168	765	1499
169	770	1496
170	776	1494
171	788	1503
172	793	1499
173	801	1501
174	806	1497
175	815	1501
176	820	1498
177	826	1494
178	835	1497
179	846	1504
180	850	1499
181	854	1493
182	858	1486
183	864	1483
184	867	1477
185	871	1471
186	875	1465
187	879	1459
188	883	1453
189	887	1447
190	895	1449
191	900	1445
192	908	1445
193	913	1441
194	918	1435
195	921	1428
196	928	1427
197	932	1421
198	935	1415
199	942	1413
200	946	1407
201	949	1401
202	953	1394
203	959	1391
204	962	1385
205	966	1379
206	970	1373
207	976	1370
208	979	1364
209	983	1358
210	992	1359
211	998	1355
212	1005	1354
213	1009	1349
214	1013	1343
215	1017	1337
216	1024	1335
217	1028	1329
218	1031	1323
219	1034	1317
220	1040	1313
221	1044	1307
222	1047	1301
223	1051	1295
224	1056	1291
225	1060	1285
226	1064	1280
227	1071	1277
228	1074	1272
229	1078	1266
230	1082	1260
231	1090	1259
232	1094	1253
233	1098	1248
