iter	RMSE
0	1.158427081
1	1.125723981
2	1.094921126
3	1.066372313
4	1.039308038
5	1.018865862
6	0.9952919057
7	0.9745750382
8	0.9557127508
9	0.9366511884
10	0.919276715
11	0.9022041147
12	0.8867547245
13	0.8716218505
14	0.8578048824
15	0.845418978
16	0.8331026779
17	0.8220331453
18	0.8103755705
19	0.8003548558
20	0.7923969718
21	0.7832885515
22	0.774957641
23	0.7675066403
24	0.7607907291
25	0.7537747499
26	0.7477257886
27	0.7418634321
28	0.736062533
29	0.7312761722
30	0.7261134216
31	0.7211772017
32	0.7167853262
33	0.7127889704
34	0.7092653194
35	0.7053026233
36	0.7020197176
37	0.6994390686
38	0.6971359372
39	0.6934513404
40	0.6910086401
41	0.6883718893
42	0.6858604649
43	0.6836892395
44	0.6817261916
45	0.6800717591
46	0.6777880417
47	0.6758062863
48	0.6740458572
49	0.6724509858
50	0.6703674284
51	0.6696459941
52	0.6680193097
53	0.6664877751
54	0.6648964725
55	0.6635319238
56	0.6622924446
57	0.6609457303
58	0.6598111072
59	0.658451883
60	0.6570303827
61	0.6559465567
62	0.6552486285
63	0.654147121
64	0.6527535149
65	0.6518845376
66	0.6510270541
67	0.6501374445
68	0.6490576234
69	0.6483323507
70	0.6478629986
71	0.647407223
72	0.646389137
73	0.6457682045
74	0.644859307
75	0.6441540385
76	0.6432203206
77	0.6425401921
78	0.64158997
79	0.6408544358
80	0.6403671457
81	0.6387690467
82	0.63819103
83	0.6378254142
84	0.6372258815
85	0.6366330277
86	0.63585203
87	0.6354257694
88	0.6350675969
89	0.6347125812
90	0.6336694018
91	0.6333127669
92	0.6326926458
93	0.632162881
94	0.6315483191
95	0.6310780936
96	0.6306295396
97	0.6299439903
98	0.6293970839
99	0.6288474879
100	0.6285597372
101	0.6280619444
102	0.6276694946
103	0.6274229543
104	0.6266752605
105	0.6261864568
106	0.6252615703
107	0.6243250267
108	0.6240246779
109	0.6234942634
110	0.6228702917
111	0.6225941771
112	0.6219862225
113	0.6214737001
114	0.6211416806
115	0.6208138466
116	0.6200926275
117	0.6197991999
118	0.6194840169
119	0.619039466
120	0.6187844958
121	0.6183111661
122	0.6177533725
123	0.6174364423
124	0.6172203622
125	0.6169258361
126	0.6166803299
127	0.6164293134
128	0.6162753785
129	0.6159644134
130	0.6158111826
131	0.6155004948
132	0.6149007335
133	0.61478714
134	0.614494748
135	0.6143069759
136	0.6138435658
137	0.6137941084
138	0.6135510108
139	0.6133240796
140	0.6127482406
141	0.6124938175
142	0.6122745087
143	0.6116266336
144	0.6114170039
145	0.6111651162
146	0.61100734
147	0.6103800054
148	0.6101463205
149	0.6096738177
150	0.6094377131
151	0.6091168008
152	0.6085450706
153	0.6084100442
154	0.6080029057
155	0.6075912776
156	0.6070500281
157	0.6066180141
158	0.6061615166
159	0.6058720434
160	0.6056790138
161	0.605460963
162	0.6052354272
163	0.6050704748
164	0.6049655189
165	0.6048552049
166	0.6046828782
167	0.6044371684
168	0.6041786181
169	0.6037115782
170	0.6033994189
171	0.6031559625
172	0.6029343405
173	0.6028210398
174	0.6027484707
175	0.602340105
176	0.6022480296
177	0.6017573513
178	0.6015154693
179	0.6011633396
180	0.6008759303
181	0.6005643817
182	0.6004933833
183	0.600219075
184	0.6000769576
185	0.599920777
186	0.5998533343
187	0.5997205374
188	0.5996683583
189	0.599553118
190	0.599367148
191	0.5991538403
192	0.5990442055
193	0.5989398264
194	0.5987666507
195	0.5985815887
196	0.5985525764
197	0.5983552754
198	0.5979884626
199	0.5978886921
200	0.5978307129
201	0.5977586419
202	0.5976446075
203	0.5974192571
204	0.5973812486
205	0.5971119074
206	0.5968929102
207	0.5965655514
208	0.5964970371
209	0.5963639844
210	0.5961795957
211	0.5959540507
212	0.5956559528
213	0.5949843115
214	0.5949162047
215	0.5947127089
216	0.59469379
217	0.5943703469
218	0.5943404655
219	0.5942592942
220	0.5941816294
221	0.5939094242
222	0.5937391215
223	0.5935824652
224	0.5931636139
225	0.5931422277
226	0.5929178556
227	0.5928612175
228	0.592793849
229	0.5924847884
230	0.5923303331
231	0.5920709978
232	0.5920597916
233	0.591906059
234	0.5917125004
235	0.5916897836
236	0.5914558169
237	0.5912290348
238	0.5910083217
239	0.5906783292
240	0.5902774666
241	0.5900334365
242	0.5898407875
243	0.5896340962
244	0.5895563054
245	0.5893842357
246	0.5892755603
247	0.5892584289
248	0.5892447238
249	0.5892281516
250	0.5891971005
251	0.588828465
252	0.5887806634
253	0.5883332051
254	0.5881234184
255	0.587971028
256	0.5878187264
257	0.5878036243
258	0.5873509373
259	0.5869199316
260	0.5869068633
261	0.586662247
262	0.5863742506
263	0.5860138597
264	0.5858420962
265	0.5856677358
266	0.5856281168
267	0.5854974326
268	0.5853060385
269	0.5852067061
270	0.5851929017
271	0.5851759682
272	0.5851457279
273	0.5851314194
274	0.5849718581
275	0.5847703798
276	0.5843545843
277	0.5842198124
278	0.5842026629
279	0.5841936432
280	0.584033659
281	0.5838590836
282	0.5836845084
283	0.5834019786
284	0.5831315539
285	0.5830225604
286	0.5827217013
287	0.5823802007
288	0.5822464472
289	0.5819717208
290	0.5817359451
291	0.581622571
292	0.5813305395
293	0.5811890128
294	0.5810169958
295	0.5807654192
296	0.580663163
297	0.5803821976
298	0.5803083096
299	0.580180144
300	0.5800224603
301	0.5798731765
302	0.5797314307
303	0.5796554889
304	0.5794997347
305	0.5792118486
306	0.579049803
307	0.5789761235
308	0.5788013753
309	0.5787767467
310	0.5787705876
311	0.578692814
312	0.5786179456
313	0.5786082596
314	0.5785480122
315	0.5784731903
316	0.5783095649
317	0.5781049827
318	0.5780244662
319	0.5778575637
320	0.5778396812
321	0.5776996599
322	0.5776197153
323	0.5774320244
324	0.5773163006
325	0.5773083894
326	0.5771700789
327	0.5769041751
328	0.5766751486
329	0.5765663475
330	0.5763919931
331	0.5762447605
332	0.5761699742
333	0.5760406458
334	0.5759868788
335	0.5758265027
336	0.5758164186
337	0.5756162839
338	0.5754656651
339	0.5754021117
340	0.5753226139
341	0.5753004087
342	0.5752107958
343	0.5749649984
344	0.5748453453
345	0.5747821972
346	0.574536336
347	0.5744415202
348	0.5742940475
349	0.5741472933
350	0.5741322169
351	0.5739390539
352	0.5739280111
353	0.5738865938
354	0.5738012285
355	0.5737226571
356	0.5737133136
357	0.5735643151
358	0.5734253198
359	0.5733619405
360	0.5731556427
361	0.5729843359
362	0.5727875364
363	0.5726779624
364	0.5724715838
365	0.572269718
366	0.5720419446
367	0.5717878856
368	0.5717158943
369	0.5716187057
370	0.5714625289
371	0.5712884664
372	0.5710831708
373	0.5709754273
374	0.5709145206
375	0.5707824401
376	0.5706833143
377	0.570603297
378	0.5705520468
379	0.570321061
380	0.5702530238
381	0.5701868812
382	0.5699745533
383	0.5698041816
384	0.5697644989
385	0.5696399055
386	0.5694621749
387	0.5692984979
388	0.5691915086
389	0.5690765881
390	0.5690348313
391	0.5689147463
392	0.5689082912
393	0.5688043441
394	0.5687229877
395	0.568606878
396	0.5684153741
397	0.5683017105
398	0.5681970448
399	0.5680901274
400	0.5679425871
401	0.5677959253
402	0.5677116405
403	0.5677034917
404	0.5676135573
405	0.5675537912
406	0.5674478998
407	0.5673529066
408	0.567347841
409	0.5671172477
410	0.5669896315
411	0.5668396243
412	0.5668318439
413	0.5667408052
414	0.566628986
415	0.566528937
416	0.5663661968
417	0.5662611307
418	0.5661235887
419	0.5660656825
420	0.5660220272
421	0.5659714366
422	0.5658264875
423	0.5657505309
424	0.5657323193
425	0.5655746304
426	0.5654621068
427	0.5654553059
428	0.5653302249
429	0.5652960081
430	0.5652047988
431	0.5651098913
432	0.5650115975
433	0.5648725921
434	0.5646836565
435	0.5645825663
436	0.564432732
437	0.5643744157
438	0.5643397028
439	0.5642236044
440	0.5641638892
441	0.5639635026
442	0.5638887583
443	0.5638444651
444	0.563789576
445	0.5637226905
446	0.5636518837
447	0.5635165899
448	0.5634149532
449	0.5633091651
450	0.5632274803
451	0.5631305938
452	0.5630673814
453	0.5630065034
454	0.5628473721
455	0.5626159106
456	0.5626043714
457	0.5625261632
458	0.5624679132
459	0.5623914007
460	0.5623403176
461	0.5622330255
462	0.5622108363
463	0.5621461428
464	0.5621425121
465	0.5619449565
466	0.5618681095
467	0.5618048541
468	0.5616867846
469	0.5615533983
470	0.5615062269
471	0.5614610586
472	0.5614068997
473	0.5613789234
474	0.5612807335
475	0.5610981103
476	0.561054765
477	0.5609895073
478	0.5609241796
479	0.5608507892
480	0.5606466721
481	0.5606298577
482	0.5604145426
483	0.5603783045
484	0.560304374
485	0.5601605919
486	0.5600520813
487	0.5599553633
488	0.5599096745
489	0.5598114322
490	0.5597754771
491	0.5597470927
492	0.5596853652
493	0.5596156835
494	0.5594180973
495	0.5592642443
496	0.5591996181
497	0.5591648571
498	0.5591149824
499	0.5590685173
500	0.5590078344
501	0.5589726827
502	0.5588373792
503	0.5587178948
504	0.5585410738
505	0.5583615417
506	0.5581650585
507	0.5580059621
508	0.5579104011
509	0.5578861472
510	0.5578582925
511	0.5577632413
512	0.5576355469
513	0.5575778885
514	0.5573722151
515	0.5573070785
516	0.5571783227
517	0.5571090293
518	0.5570394292
519	0.5570069444
520	0.5569619493
521	0.5568068935
522	0.5567622836
523	0.5566534351
524	0.5565966236
525	0.5565721473
526	0.5564471262
527	0.5564056677
528	0.5563224404
529	0.5562006706
530	0.5561557028
531	0.556106891
532	0.5560658907
533	0.5560108402
534	0.5558688437
535	0.5557637641
536	0.5557343071
537	0.5557113829
538	0.5557055554
539	0.5556187163
540	0.5555457311
