iter	RMSE
0	738.9417061
1	724.9543466
2	710.6219039
3	697.6511052
4	683.6999022
5	671.4944064
6	660.4175562
7	649.0871024
8	636.7688321
9	625.1391025
10	614.8753137
11	605.1749248
12	596.2627611
13	587.6697229
14	579.2980334
15	570.6115322
16	561.8761234
17	552.510352
18	544.934413
19	537.0355721
20	529.6837916
21	522.4286368
22	515.5320812
23	508.7578798
24	502.4596297
25	495.5703569
26	490.1837819
27	484.6109116
28	478.407081
29	473.3125304
30	469.217758
31	464.1792679
32	459.5177846
33	454.9529395
34	450.8765479
35	446.1183499
36	441.3896345
37	437.3990844
38	433.4588027
39	429.5351386
40	425.5819966
41	422.0039865
42	418.4628212
43	415.5606177
44	411.9790581
45	409.0851607
46	406.0212791
47	402.7858403
48	399.9142444
49	396.748137
50	394.3607658
51	391.0199005
52	388.755272
53	386.1287645
54	383.3492039
55	381.1920085
56	379.1622605
57	376.8581552
58	374.6756717
59	372.0965307
60	370.7207336
61	369.1709103
62	366.828232
63	365.0747074
64	363.6155219
65	362.0668852
66	360.2562652
67	358.6687083
68	356.8163339
69	355.2302489
70	354.0080888
71	352.4467795
72	351.2458343
73	350.2739691
74	348.5911795
75	346.6502106
76	345.1701701
77	343.7260178
78	342.7733598
79	341.0828866
80	339.4604463
81	338.1021166
82	337.0301079
83	336.1067559
84	335.3494316
85	334.2790133
86	332.7042244
87	331.6315052
88	329.9556193
89	329.3625584
90	328.4728396
91	327.4330426
92	326.3621603
93	325.4262913
94	324.4874726
95	323.5792809
96	322.0473494
97	320.7200849
98	319.8142078
99	318.9488755
100	317.9485497
101	317.1344069
102	315.943841
103	315.0114979
104	314.3622922
105	313.5064988
106	312.7708598
107	312.1170666
108	311.1738805
109	310.2984407
110	309.4567399
111	308.6908041
112	307.85282
113	307.2442951
114	306.7403814
115	306.2102744
116	305.4745304
117	304.517766
118	304.0240849
119	303.3975271
120	302.7152014
121	302.0774034
122	301.5282749
123	301.071733
124	300.2440207
125	299.7054464
126	299.3756674
127	298.6781056
128	298.2910306
129	297.4116896
130	296.962943
131	296.5013755
132	296.0070858
133	295.5531591
134	295.0874342
135	294.1987183
136	293.5617859
137	293.1134809
138	292.3239316
139	291.5641568
140	291.0964653
141	290.6799548
142	290.4270015
143	289.8907939
144	289.5102887
145	288.764086
146	288.276947
147	287.8160738
148	287.0141514
149	286.4781776
150	285.9404671
151	285.2407116
152	284.7506378
153	284.1031834
154	283.5479907
155	282.8480908
156	282.3906355
157	281.8615265
158	281.2350449
159	280.6052592
160	280.0286741
161	279.5024732
162	278.8340405
163	278.269957
164	277.4372136
165	276.8682644
166	276.4507556
167	275.999308
168	275.6540735
169	274.9146853
170	274.4754655
171	273.9630891
172	273.6920244
173	273.3671433
174	272.7956949
175	272.0353514
176	271.6818339
177	270.9305826
178	270.0644854
179	269.6598933
180	269.4099588
181	269.0378418
182	268.4991512
183	267.9988771
184	267.7640563
185	267.4213807
186	266.9835929
187	266.3389974
188	266.0801151
189	265.815
190	265.38025
191	264.8728817
192	264.6715334
193	264.3469024
194	263.9193052
195	263.6536293
196	263.3568902
197	263.0317131
198	262.2337487
199	261.8940108
200	261.5345562
201	261.2481943
202	261.0744176
203	260.2607556
204	259.8576557
205	259.5001348
206	259.2485327
207	258.9856392
208	258.5873058
209	258.110561
210	257.7403771
211	257.3335051
212	257.0967142
213	256.5539515
214	255.794457
215	255.2621493
216	255.0212145
217	254.6451491
218	254.282095
219	254.1117069
220	253.5254866
221	253.1897471
222	252.9620162
223	252.588975
224	252.2362948
225	251.9445395
226	251.6180072
227	251.2536432
228	251.1196015
229	250.9917355
230	250.6600405
231	250.3854612
232	250.0772925
233	249.7512825
234	249.6362058
235	249.4143426
236	249.2515753
237	249.1161612
238	248.7240269
239	248.408714
240	248.2884791
241	248.0095108
242	247.8598969
243	247.292929
244	247.1880408
245	247.0767563
246	246.6635937
247	246.0719896
248	245.9756942
249	245.8720216
250	245.4639926
251	245.3715655
252	244.7910567
253	244.3914706
254	244.261987
255	244.145347
256	244.0536584
257	243.9735894
258	243.6578233
259	243.5692196
260	243.1865926
261	243.1096347
262	242.4362675
263	242.0082311
264	241.9267969
265	241.8562286
266	241.316862
267	240.9556921
268	240.8862559
269	240.5477361
270	240.4417935
271	240.3778836
272	240.0498346
273	239.7379852
274	239.3354586
275	239.2755143
276	238.8605882
277	238.5525471
278	238.2754398
279	238.186264
280	237.5819678
281	237.2880623
282	236.9527613
283	236.7383334
284	236.4224156
285	236.1839432
286	236.070002
287	235.5661716
288	235.1010058
289	234.5966949
290	234.5389364
291	234.0969014
292	233.8079798
293	233.6093317
294	233.1572683
295	232.9783176
296	232.8131575
297	232.4758367
298	232.2552648
299	232.0493329
300	231.9851842
301	231.8229919
302	231.7154039
303	231.5173938
304	231.3401227
305	231.2546184
306	231.2033548
307	230.6661742
308	230.1514466
309	229.9264534
310	229.7684056
311	229.443928
312	229.1144356
313	228.9925068
314	228.6049331
315	228.4410934
316	228.0679643
317	227.7734712
318	227.6967854
319	227.3586873
320	227.0984753
321	226.9042896
322	226.5302485
323	226.3191735
324	226.1710719
325	225.6960867
326	225.4752931
327	225.3981122
328	225.2978553
329	224.9496472
330	224.8871513
331	224.5714993
332	224.3168545
333	224.0062015
334	223.8150951
335	223.7192279
336	223.5859399
337	223.3734133
338	223.2888591
339	223.2443927
340	223.0995558
341	222.7851458
342	222.6922613
343	222.4250141
344	221.9797913
345	221.9340406
346	221.6175868
347	221.5386592
348	221.5088596
349	221.4789108
350	221.2529256
351	221.0601055
352	221.0021042
353	220.9453293
354	220.6678104
355	220.5152089
356	220.4562458
357	220.325315
358	220.0915506
359	219.9104718
360	219.6956582
361	219.5784611
362	219.5378007
363	219.2164121
364	219.0534179
365	218.975837
366	218.6912987
367	218.665367
368	218.4762482
369	218.1848774
370	218.1055812
371	218.0002359
372	217.8037022
373	217.7799502
374	217.6962028
375	217.4387499
376	217.4008531
377	217.3630329
378	217.2386436
379	216.9182885
380	216.6999173
381	216.3451374
382	216.2130991
383	216.1763794
384	215.9051242
385	215.8534318
386	215.6179578
387	215.5259869
388	215.3310967
389	215.1958741
390	215.1229278
391	214.8862461
392	214.8616443
393	214.6464392
394	214.3184095
395	214.3070142
396	214.1817786
397	214.0234561
398	213.9889224
399	213.8249934
400	213.5994627
401	213.4141986
402	213.2147608
403	213.1443455
404	213.0112294
405	212.8002667
406	212.6899574
407	212.526014
408	212.3403033
409	212.0953999
410	211.9632081
411	211.9230077
412	211.7601994
413	211.5829381
414	211.3290243
415	211.1557386
416	211.0614284
417	211.0279223
418	210.822011
419	210.7210291
420	210.5907725
421	210.5581358
422	210.2150923
423	210.116205
424	210.0773335
425	210.0506953
426	209.8452478
427	209.6495174
428	209.4314733
429	209.0348579
430	208.8842191
431	208.6967978
432	208.5529195
433	208.3327323
434	208.1135215
435	207.9226649
436	207.9012893
437	207.7208092
438	207.5520909
439	207.3695645
440	207.3283984
441	207.237178
442	207.1003954
443	206.8375298
444	206.7746885
445	206.6535888
446	206.5392223
447	206.521532
448	206.1243214
449	205.908465
450	205.5611373
451	205.3612479
452	205.1975807
453	205.1746536
454	205.0549164
455	204.9438836
456	204.9249188
457	204.7014017
458	204.5366454
459	204.2899255
460	204.2477791
461	204.2271166
462	204.0927608
463	203.8927097
464	203.7971701
465	203.7097234
466	203.6809852
467	203.3828761
468	203.2242767
469	203.1332376
470	203.0452041
471	202.8560505
472	202.7599995
473	202.6271024
474	202.4456142
475	202.3658315
476	202.2824181
477	202.2309514
478	201.9923343
479	201.6775963
480	201.4668001
481	201.3381492
482	201.2234687
483	201.1209708
484	201.0100012
485	200.9848686
486	200.8689047
487	200.842287
488	200.7222364
489	200.4438811
490	200.3061472
491	200.0641413
492	199.9204469
493	199.6971296
494	199.5223153
495	199.4468905
496	199.1458992
497	198.8680881
498	198.662115
499	198.4195181
500	198.1923782
501	198.073177
502	197.8209777
503	197.7539897
504	197.6725322
505	197.5618857
506	197.3042647
507	197.1945531
508	197.0845361
509	197.0292966
510	196.6733138
511	196.6529389
512	196.4832105
513	196.383631
514	196.1989125
515	196.0377264
516	195.9738936
517	195.7660505
518	195.688357
519	195.5749207
520	195.5325861
521	195.3278384
522	195.2587912
523	195.014697
524	194.9045457
525	194.8161402
526	194.7437881
527	194.6035266
528	194.555477
529	194.3726004
530	194.2697958
531	194.1891752
532	193.9048702
533	193.8395616
534	193.7953304
535	193.633184
536	193.4689977
537	193.3964123
538	193.3077309
539	193.1796778
540	192.9665389
541	192.937994
542	192.6955756
543	192.6427734
544	192.613301
545	192.5804956
546	192.4804659
547	192.4053744
548	192.2603354
549	192.1961632
550	192.1350844
551	192.0435029
552	191.9737817
553	191.8599398
554	191.7160891
555	191.5242873
556	191.468202
557	191.4357202
558	191.4049752
559	191.1466356
560	191.0829613
561	190.9870082
562	190.8642972
563	190.8225172
564	190.6596468
565	190.4315413
566	190.2958828
