iter	Passed	Remaining
0	0	962
1	2	1004
2	2	942
3	3	925
4	4	896
5	5	955
6	6	948
7	7	923
8	8	937
9	12	1235
10	13	1196
11	14	1220
12	15	1172
13	16	1127
14	16	1088
15	17	1052
16	17	1021
17	18	993
18	18	967
19	19	961
20	20	942
21	21	933
22	22	962
23	25	1055
24	26	1035
25	27	1014
26	27	995
27	28	985
28	29	978
29	29	963
30	30	948
31	30	935
32	31	935
33	32	926
34	33	914
35	33	902
36	34	892
37	35	905
38	37	916
39	42	1013
40	43	1018
41	44	1024
42	45	1017
43	46	1012
44	47	1004
45	47	994
46	49	997
47	50	992
48	51	1000
49	54	1038
50	56	1053
51	57	1052
52	58	1046
53	59	1043
54	60	1037
55	62	1047
56	63	1047
57	64	1041
58	64	1032
59	65	1023
60	65	1014
61	66	1011
62	69	1035
63	70	1026
64	70	1017
65	71	1009
66	71	1001
67	72	993
68	73	995
69	74	988
70	74	981
71	76	981
72	76	976
73	77	973
74	78	966
75	78	959
76	79	953
77	80	946
78	80	941
79	82	943
80	85	967
81	86	965
82	88	974
83	88	968
84	89	959
85	89	953
86	90	947
87	91	945
88	91	941
89	92	936
90	93	937
91	94	933
92	95	928
93	95	922
94	96	916
95	96	911
96	99	930
97	100	925
98	101	920
99	101	914
100	102	913
101	103	908
102	104	905
103	104	901
104	105	896
105	105	891
106	106	886
107	106	881
108	107	877
109	107	872
110	108	870
111	109	867
112	110	865
113	115	893
114	115	890
115	116	888
116	119	901
117	121	907
118	121	902
119	122	898
120	123	895
121	123	890
122	124	887
123	125	883
124	125	879
125	126	877
126	128	883
127	129	882
128	130	878
129	130	874
130	131	871
131	131	867
132	132	863
133	133	859
134	133	855
135	134	851
136	134	849
137	135	846
138	136	842
139	136	839
140	137	837
141	138	834
142	138	831
143	139	827
144	139	824
145	140	820
146	140	817
147	144	832
148	145	829
149	145	826
150	146	825
151	147	822
152	147	818
153	151	833
154	153	834
155	153	831
156	154	829
157	155	829
158	158	839
159	159	837
160	160	835
161	160	832
162	162	835
163	163	833
164	164	831
165	165	830
166	166	828
167	167	827
168	168	827
169	169	827
170	170	825
171	179	862
172	181	866
173	182	866
174	183	863
175	183	859
176	184	856
177	184	853
178	188	865
179	189	864
180	190	861
181	191	859
182	191	856
183	192	852
184	192	849
185	193	846
186	194	843
187	194	841
188	195	838
189	196	835
190	196	833
191	197	830
192	197	827
193	198	824
194	199	822
195	202	831
196	203	828
197	203	825
198	204	824
199	205	822
200	206	819
201	206	817
202	207	814
203	209	816
204	209	813
205	210	810
206	210	808
207	211	805
208	212	802
209	212	800
210	213	799
211	214	797
212	218	806
213	218	804
214	219	801
215	220	798
216	220	795
217	221	793
218	221	791
219	222	789
220	224	790
221	225	790
222	226	790
223	227	789
224	228	788
225	232	795
226	232	792
227	233	790
228	234	789
229	235	787
230	235	785
231	236	782
232	237	780
233	237	778
234	238	776
235	239	774
236	239	771
237	240	769
238	241	767
239	242	766
240	242	764
241	243	762
242	246	766
243	246	764
244	247	761
245	247	759
246	248	756
247	248	754
248	249	753
249	250	752
250	251	750
251	252	749
252	253	747
253	253	745
254	254	742
255	254	740
256	255	738
257	255	736
258	256	733
259	257	731
260	258	732
261	261	736
262	262	736
263	264	737
264	265	735
265	266	734
266	267	734
267	268	733
268	269	732
269	270	731
270	271	730
271	273	731
272	274	730
273	274	728
274	275	726
275	275	723
276	277	723
277	277	721
278	278	719
279	278	717
280	279	715
281	280	713
282	280	710
283	281	709
284	281	707
285	282	705
286	283	703
287	284	702
288	285	701
289	287	704
290	288	702
291	289	700
292	289	698
293	290	696
294	290	694
295	291	693
296	292	691
297	292	689
298	293	687
299	294	686
300	294	684
301	295	683
302	296	681
303	297	680
304	297	678
305	298	676
306	298	674
307	299	672
308	301	674
309	302	674
310	303	672
311	303	670
312	304	668
313	305	666
314	305	664
315	306	662
316	306	660
317	307	659
318	307	657
319	308	656
320	309	654
321	309	652
322	310	650
323	311	649
324	311	647
325	312	646
326	313	645
327	316	649
328	317	648
329	319	647
330	320	647
331	321	646
332	322	645
333	323	644
334	324	644
335	325	642
336	325	641
337	326	639
338	327	637
339	327	636
340	330	639
341	331	637
342	331	635
343	332	634
344	333	632
345	333	631
346	334	629
347	335	627
348	335	625
349	336	625
350	337	623
351	337	622
352	338	621
353	339	619
354	340	618
355	341	616
356	344	619
357	344	618
358	345	616
359	345	614
360	346	613
361	346	611
362	347	610
363	348	608
364	348	606
365	349	605
366	350	604
367	351	603
368	352	601
369	353	601
370	353	600
371	354	598
372	354	596
373	355	595
374	356	593
375	359	596
376	360	595
377	364	600
378	366	600
379	367	600
380	369	599
381	369	598
382	371	597
383	374	600
384	375	599
385	376	598
386	377	598
387	379	598
388	380	597
389	381	596
390	382	596
391	383	595
392	384	593
393	385	592
394	390	597
395	390	595
396	391	594
397	391	592
398	393	592
399	393	590
400	395	590
401	395	588
402	396	587
403	397	586
404	398	585
405	399	583
406	403	587
407	404	586
408	406	586
